,index,title,description,price,details,parent_asin
53,14265,RUGGED & DAPPER Active Regimen Grooming and Skincare Set for Men | Includes Body Wash Shampoo + Face Wash + Facial Moisturizer + Shaving Cream in a Travel Bag,,,"{'Brand': 'RUGGED & DAPPER', 'Style': 'Travel', 'Closure Type': 'Zipper', 'Pattern': 'Solid', 'Item Dimensions LxWxH': '7.75 x 5 x 5 inches', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '7.75 x 5 x 5 inches; 3 Pounds', 'Item model number': 'Active Regimen Grooming Set', 'UPC': '862332000437'}",B07JGD2T2J
54,14584,"So'Bio Étic | Moisturizing Fresh Gel Cream | Organic Face Moisturizer for Combination Skin | 24 hr Hydrating, Balancing & Plumping | 0.5 fl oz",,,"{'Brand': ""So'Bio Étic"", 'Item Form': 'Cream,Gel', 'Number of Items': '1', 'Use for': 'Face', 'Skin Type': 'Combination, Sensitive, Dry', 'Language': 'Spanish', 'Product Dimensions': '2.36 x 2.36 x 2.76 inches; 1.76 Ounces', 'Item model number': '3517360019421'}",B08HVRP54L
55,14591,Fragrantshare Makeup Brushes Professional Organizer Foundation Brush for Liquid makeup Travel 9Pcs Sets - Odorless Fiber Hair - Light Blue,,,"{'Brand': 'FragrantShare', 'Material': 'Wood', 'Number of Pieces': '9', 'Age Range (Description)': 'Adult', 'Ferrule Material': 'Aluminum', 'Skin Tone': 'Light', 'Package Dimensions': '10.16 x 5.39 x 3.58 inches; 8.15 Ounces', 'Item model number': 'BAS-9', 'UPC': '633690926635'}",B0919R1CYT
56,14618,lootaan 500 Pieces False Nails French Acrylic Fake Nails Tips Half Cover Artificial Fake Nails With Box and False Nail Clipper for Women Girl,,,"{'Material': 'Acrylic', 'Brand': 'lootaan', 'Number of Pieces': '500', 'Package Dimensions': '9 x 6 x 2 inches; 8.01 Ounces', 'UPC': '710157699223'}",B08B3TCMSQ
57,14898,COSYMAY 20 inch Human Hair Wig for Women Long Black Wig with Bangs 4x4 Lace Closure Straight Wig Brazilian Virgin Hair Full Wig Average Size 1B,,,"{'Hair Type': 'Straight', 'Brand': 'COSYMAY', 'Age Range (Description)': 'Adult', 'Package Dimensions': '9.96 x 6.73 x 2.72 inches; 11.99 Ounces', 'UPC': '738627428647'}",B083122WRC
58,15292,"Easydew Daily Double Hydra Cream 2.02 fl oz - Moisturizing Cream with EGF & Serine of NMFHydrating, Soothing, Anti-Aging EGF, Serine - N.M.F(Natural Moisturizing Factors) for Oily, Sensitive, Acne-Prone, Dry Skin Types",,,"{'Brand': 'EASYDEW', 'Item Form': 'Cream', 'Unit Count': '5.2911 Ounce', 'Number of Items': '1', 'Skin Type': 'Acne Prone,Oily,Sensitive,All Skin Types', 'Package Dimensions': '5.98 x 1.69 x 1.46 inches; 3 Ounces'}",B088GWCVVJ
59,15646,UJM Magnetic Eyelashes 10 Pairs Reusable Magnetic Eyelash and Eyeliner Kit Natural Look False Lashes with Tweezers No Glue Needed Waterproof Magnetic Lashes,,,"{'Brand': 'UJM', 'Item Dimensions LxWxH': '8 x 4 x 0.4 inches', 'Material Feature': 'Gluten Free', 'Item Form': 'Pair', 'Mounting Type': 'Eyelash Glue', 'Product Dimensions': '8 x 4 x 0.4 inches; 2.89 Ounces', 'Item model number': 'UJM-010'}",B08KJF6Y6C
60,15896,"Lenghthening Mascara by Almay,Volume & Lift, Eye Makeup, Hypoallergenic and Fragrance Free, 010 Blackest Black, 0.24 Fl Oz","Enjoy visibly longer, lifted lashes in one gentle swipe with Almay Length & Lift Mascara™. Our clean, flake-free formula is enriched with a lash-caring complex of plant-based waxes and hair conditioners that nourish for healthy looking eyelashes. Plus, the brush is made of 100% plant-derived bristles that are designed to evenly coat and separate lashes from root to tip. We also ensured that our newest mascara is smooth and buildable—no clumps or smudging—making it the perfect finishing touch to any look, be it everyday glam, a smoky eye, or cat eye. What’s more, we tested our product to ensure it is suitable for sensitive eyes and contact lens wearers, so go ahead and magnify lashes to your chosen intensity! And because we love the environment as much as we love your delicate eyes, part of the mascara packaging is made with post-consumer recycled materials. Formulated without added parabens, phthalates, SLS, mineral oil, DMDM Hydantoin, formaldehydes, and Triclosan. As always, hypoallergenic. Ophthalmologist tested. Clean. Cruelty free. Fragrance free.",7.13,"{'Color': '010 Blackest Black', 'Product Benefits': 'Conditioning', 'Special Feature': 'Not-Applicable', 'Material Type Free': 'Fragrance Free', 'Brand': 'Almay', 'Product Dimensions': '2.75 x 0.73 x 5.75 inches; 1.01 Ounces', 'Item model number': '7257548001', 'UPC': '309970143022', 'Manufacturer': 'AmazonUs/REVL7'}",B08MRRNL18
61,15973,Hyaluronic Acid & Caffeine Eye Roller Serum for Men with Vitamin C – Made in USA – Depuffing Eye Roller Ball for Dark Circles & Puffiness – Mens Day & Night Anti-Aging Under Eye Serum Roller – 10ml (0.68 Fl Oz (Pack of 2)),,36.99,"{'Skin Type': 'All', 'Product Benefits': 'Eye-Bag Depuffer', 'Use for': 'Eyes', 'Scent': 'Aloe', 'Brand': 'Gentlehomme', 'Package Dimensions': '5.67 x 2.68 x 1.14 inches; 2.89 Ounces', 'UPC': '850030774026', 'Manufacturer': 'Gentlehomme', 'Country of Origin': 'USA'}",B0B8SFDJN9
62,16237,JUNG SAEM MOOL OFFICIAL] JUNGSAEMMOOL Minifying Cica Mist Balm,,,"{'Brand': 'JUNG SAEM MOOL', 'Number of Items': '1', 'Age Range (Description)': 'Adult', 'Country/Region Of Origin': 'Republic of Korea', 'Package Dimensions': '3.23 x 3.07 x 1.14 inches; 2.08 Ounces'}",B0B4MR9BXN
63,16256,[Abib] Creme coating mask Tone-up solution 17g (5pcs),,,"{'Brand': 'Abib', 'Scent': 'Unscented', 'Number of Items': '5', 'Package Dimensions': '8.7 x 6.2 x 0.8 inches; 8.01 Ounces'}",B08575Y9V3
64,16524,BABOR Power Serum Ampoules - Hyaluronic Acid | Moisturizing Smoothing and Plumping | 8D Hyaluronic Acid and Tripeptide Intensely Hydrate All Skin's Layers | 7 Days to Hydrated Skin,,,"{'Skin Type': 'All', 'Product Benefits': 'Hydration', 'Scent': 'Aloe', 'Brand': 'Babor', 'Item Form': 'Serum', 'Package Dimensions': '5.94 x 3.43 x 0.91 inches; 2.08 Ounces'}",B08VQY1Z1S
65,16557,100% PURE Cocoa Coffee Body Scrub Exfoliating Deep Cleanse with Sea Salts & Nourishing Oils Natural Moisturizing Skincare Radiant Skin Restore & Pore Cleanser for Women & Men Vegan - 10oz,"Our invigorating cacao and coffee body scrub buffs away bumps and flakes for radiant, deeply nourished skin. We source the highest quality organic and fair trade Ecuadorian cacao, which contains beneficial tannins, flavonoids, and antioxidants. Natural caffeine from coffee and cacao offers calming benefits to reduce redness, combat the effects of UV damage in skin, and promote a glowing complexion.",40.0,"{'Brand': '100% PURE', 'Skin Type': 'Dry', 'Product Benefits': 'Nourished', 'Material Feature': 'Certified Organic, Gluten Free, Cruelty Free, Vegan', 'Number of Items': '1', 'Package Dimensions': '3.74 x 3.58 x 1.93 inches; 11.99 Ounces', 'Item model number': '1BCCBS', 'Department': 'mens', 'UPC': '843585108033', 'Manufacturer': '100% PURE'}",B09KYJJ3D5
66,16705,"Poly Nail Gel Kit, 7 Colors Nail Extension Gel with UV Lamp, Poly Extension Decoration Kit, Base Top Coat Set with Rhinestone, Nail Molds, Nail Art Gel Kits for Home DIY Manicure, Blue Nude Series",,,"{'Color': 'Blue', 'Material': 'Acrylic', 'Brand': 'AIFAIFA', 'Item Form': 'Gel', 'Product Dimensions': '5.9 x 5.9 x 5.9 inches; 1.48 Pounds'}",B087GB8ZRF
67,16970,"Higher Education Skincare: Goal Digger - Silky Moisturizing Cucumber Creme; formulated for dry and sensitive skin; cucumber extract; natural extract: melon, kale, cabbage, ginger, turmeric - 1.7 fl oz",,,"{'Brand': 'Higher Education', 'Scent': 'Cucumber', 'Item Form': 'Creme', 'Unit Count': '1.7 Fl Oz', 'Number of Items': '1', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '2.88 x 2.88 x 2.13 inches; 7.2 Ounces', 'UPC': '811381032050'}",B07ZS3DKL5
68,18451,"Bloomeffects - Natural Tulip Dew Face Cream | Cruelty-Free, Non-Toxic, Clean Beauty (1.7 oz | 50 ml)",,,"{'Brand': 'Bloomeffects', 'Item Form': 'Cream', 'Unit Count': '1.00 Count', 'Number of Items': '1', 'Use for': 'Face', 'Package Dimensions': '5.98 x 3.27 x 2.91 inches; 1.7 Ounces', 'UPC': '850006566419'}",B09FNTZFZZ
69,18696,"HASK CUCUMBER + ALOE Body Wash 2 Pack- Refreshing, vegan formula, hypoallergenic, dermatologist tested, pH balanced- 2 Pack of 24.5 oz Bottles",,,"{'Skin Type': 'Sensitive', 'Brand': 'HASK', 'Material Type Free': 'Silicones,Sulfates', 'Age Range (Description)': 'Adult', 'Number of Items': '2', 'Product Dimensions': '8.99 x 3.24 x 10.04 inches; 3.68 Pounds', 'UPC': '071164327258'}",B08SG2MBRY
70,18769,GAINWELL,,,"{'Brand': 'GAINWELL', 'Shape': 'Round', 'Handle Material': 'Wood', 'Unit Count': '1.00 Count', 'Hair Type': 'All', 'Package Dimensions': '7.24 x 2.56 x 1.73 inches; 2.17 Ounces'}",B08JTNQFZY
71,18885,"OGANA CELL Bio Actiome Recovery Cream 50ml / 1.69oz - Mild All in One Cream, Soothing & Anti-Wrinkle, Peptides and Blackbee Extract Contained Nourishing Skin Care",,34.99,"{'Brand': 'OGANA CELL', 'Item Form': 'Cream', 'Unit Count': '1.69 Fl Oz', 'Number of Items': '1', 'Use for': 'Whole Body', 'Package Dimensions': '5.87 x 1.46 x 1.42 inches; 1.69 Ounces'}",B08QVJ4NVD
72,18965,"Beauty Bakerie Lip Whip Liquid Metallic Lipstick, Long Lasting Lip Color, Smudge Proof Makeup, Berried, 3.5 mL","Beauty Bakerie Berried metallic Lip whip is a metallic red liquid lipstick with hints of deep purple. It is long-lasting, smudge-proof and waterproof. Glides smoothly over lips, It is a weightless and non-sticky texture.",22.0,"{'Brand': 'Beauty Bakerie', 'Color': 'Berried', 'Skin Type': 'All', 'Item Form': 'Liquid', 'Finish Type': 'Metallic', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '0.59 x 0.59 x 3.54 inches; 0.71 Ounces', 'Item model number': '754680458186', 'UPC': '754680458186', 'Manufacturer': 'Beauty Bakerie Cosmetics Brand'}",B0BVQQ58G8
73,19260,"Hemp Lotion for Dry Skin - Soothing Rose Flower & Aloe Hydrate Your Complexion - Non-Greasy, Vegan, 7Oz, 250Mg Hemp, Fragrance & Paraben Free - Guayaquil By La La Leaf",,,"{'Brand': 'LA LA LEAF', 'Item Form': 'Lotion', 'Unit Count': '7.00 Fl Oz', 'Number of Items': '1', 'Use for': 'Whole Body', 'Package Dimensions': '8.19 x 2.28 x 2.17 inches; 8.78 Ounces', 'UPC': '860002750125'}",B08BB3P4VQ
74,19267,"No Brainer Gentle Facial Cleanser, 6 fl. oz, For Dry & Sensitive Skin, Leaves Skin Feeling Clean, Soft and Hydrated, Hydrolyzed Rice Protein & Amino Acids Restores Skin by Higher Education Skincare",,,"{'Item Form': 'Liquid', 'Skin Type': 'Sensitive', 'Brand': 'Higher Education', 'Age Range (Description)': 'Adult', 'Unit Count': '6.00 Fl Oz', 'Package Dimensions': '7.2 x 2.3 x 2.3 inches; 8.01 Ounces', 'UPC': '811381030056'}",B07ZQRX7FX
75,19568,"Got2b Glued Spray Wax with 2-in-1 Dual Nozzle, 8 oz","The first dual-finish spray wax has officially hit the shelves! The got2b glued Spray Wax provides two looks with one product. So whether you want flexible texture or structured hold, this product has you covered! Best of all, this lightweight formula doesn’t leave your hair feeling sticky or crunchy. Create your own look and style. Turn to position 1 for flexible texture, turn to position 2 for structured hold. Be whoever you want 2b with got2b glued Spray Wax!",6.47,"{'Product Benefits': 'Firm Hold', 'Hair Type': 'All', 'Scent': 'Unscented', 'Liquid Volume': '8 Fluid Ounces', 'Item Form': 'Wax', 'Product Dimensions': '2 x 2 x 8.38 inches; 9.87 Ounces', 'Item model number': '31307', 'UPC': '017000313078', 'Manufacturer': 'AmazonUs/DIAW7', 'Country of Origin': 'USA'}",B08PLFZB89
76,19757,"Nail Files 16 Pcs, Double Sided Emery Board Manicure Tools for Filing Natural Gel and Acrylic Nails for Home and Salon Use",,,"{'Material': 'Acrylic', 'Brand': 'Keiby Citom', 'Grit Number': '100', 'Unit Count': '1.00 Count', 'Package Dimensions': '7.8 x 5.08 x 0.59 inches; 5.29 Ounces', 'UPC': '742025065137', 'Manufacturer': 'YHIT'}",B08C72C56Z
77,21596,Taya Beauty Inner Core Hair Strong Anti-Breakage Shampoo & Conditioner Duo - Strengthening and Repairing Formula - Free From Sulfates and Parabens - 8 fl oz Bottles,"INNER CORE SHAMPOO: Ingredients: Water/Aqua/Eau, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Sodium Methyl Cocoyl Taurate, Acrylates Copolymer, Glycerin, Glycol Distearate, Bambusa Vulgaris Extract, Helianthus Annuus (Sunflower) Seed Oil, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Panthenol, Dimethicone, PEG-120 Methyl Glucose Dioleate, Cetrimonium Chloride, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Cetyl Alcohol, Bis-Cetearyl Amodimethicone, Polyquaternium-11, Laureth-4, Laureth-23, Decylene Glycol, Caprylyl Glycol, Disodium EDTA, Amodimethicone, Cocamide MIPA, Trideceth-12, Kaolin, Polysorbate 20, Fragrance/Parfum, Phenoxyethanol, Sodium Hydroxide, Sodium Sulfate, Sodium Chloride, Coconut Acid, Sodium Methyltaurate, Isopropanolamine, Tocopherol, Salicylic Acid, Cyclotetrasiloxane, Cyclopentasiloxane, Ethylhexylglycerin, Citric Acid, Amyl Cinnamal, Benzyl Salicylate, Linalool. INNER CORE CONDITIONER: Ingredients: Water/Aqua/Eau, Cetearyl Alcohol, Glycerin, Behentrimonium Methosulfate, Stearamidopropyl Dimethylamine, Polysorbate 60, Bambusa Vulgaris Extract, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Cetrimonium Chloride, Dimethicone, Divinyldimethicone/Dimethicone Copolymer, Polyquaternium-37, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Propylene Glycol Dicaprylate/Dicaprate, Dicetyldimonium Chloride, Amodimethicone, Polyquaternium-7, PPG-1 Trideceth-6, Cetyl Alcohol, Trideceth-12, C11-15 Pareth-7, C12-13 Pareth-23, C12-13 Pareth-3, Decylene Glycol, Caprylyl Glycol, PEG-90M, Tetrasodium EDTA, Buteth-3, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Sodium Benzotriazolyl Butylphenol Sulfonate, Laureth-9, Tributyl Citrate, Citric Acid, Fragrance/Parfum, Kaolin, Yellow 6/CI 15985, Phenoxyethanol, Sorbitan Oleate, Acrylates/Stearyl Methacrylate Copolymer, C10-11 Isoparaffin, Isopropyl Alcohol, Trisodium HEDTA, Silica, BHT, Amyl Cinnamal, Benzyl Salicylate, Linalool.",48.0,"{'Product Benefits': 'Moisturizing,Repairing,Cleanses,Breakage', 'Item Form': 'Liquid', 'Brand': 'TAYA I AM.', 'Hair Type': 'Wavy, Color Treated, Curly, Damaged, Thin', 'Scent': 'Coconut', 'Package Dimensions': '7.99 x 4.53 x 2.09 inches; 1 Pounds', 'Item model number': '3.00', 'UPC': '858308002185'}",B07VGBBNTH
78,21827,"ZOUSZ Black Oud Vegan Beard Balm - Classic Wood-Scented Facial Hair Grooming and Skin Care Butter for Men - Avocado, Argan, Macadamia Oils - Vegan Moisturiser, Conditioner, and Dandruff Remover",,,"{'Brand': 'ZOUSZ', 'Item Form': 'Liquid,Balm', 'Material Feature': 'Natural', 'Hair Type': 'Dry', 'Age Range (Description)': 'Adult', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '3.15 x 3.15 x 3.94 inches; 1.76 Ounces'}",B08BKWLHYP
79,21878,"Beast Blue Ultra Cooling Body Wash, 6 oz -Beast",,,"{'Item Form': 'Cream', 'Skin Type': 'Dry', 'Brand': 'Tame the Beast', 'Scent': 'Green Tea', 'Age Range (Description)': 'Adult', 'Package Dimensions': '7 x 3 x 2 inches; 7.2 Ounces', 'UPC': '817662018539'}",B0844X21MJ
80,22230,"Empty Amber Glass Spray Bottles - (4 Pack) 16 oz with Labels Refillable Container for Essential Oils, Cleaning Solutions, Cleaning Products, Hair, Plant Mister, Daily Shower, Gardening or Aromatherapy",,,"{'Brand': 'AYL', 'Material': 'Glass', 'Capacity': '16 Ounces', 'Number of Items': '4', 'Product Care Instructions': 'Hand Wash Only', 'Package Dimensions': '9.88 x 7.6 x 7.17 inches; 2.98 Pounds', 'Item model number': 'EmptyAmberGlassSprayBottles 4 Pack', 'UPC': '860005177202'}",B08HGZXLP6
81,22657,"Zeitun Natural Anti Cellulite Body Scrub - Organic Coffee Body Scrub Exfoliator With Robusta & Dead Sea Salt - Cinnamon, Ginger And Moisturizing Oils, 7 oz",,,"{'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '1.57 x 5.91 x 8.27 inches; 7 Ounces'}",B07D5FBFQ4
82,22728,"EASYDEW Starter Soft Conditioning Face Wash 6.76 fl oz - Soothing and Moisturizing Face Wash with Ceramides, Hydrogen Water & DW-EGF I Deep Pore Cleanser & Hypoallergenic Gentle Makeup Remover",,,"{'Item Form': 'Cream', 'Skin Type': 'Sensitive,All Skin Types', 'Brand': 'EASYDEW', 'Material Feature': 'Hypoallergenic, Natural', 'Age Range (Description)': 'Adult', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '7.01 x 1.97 x 1.97 inches; 9.17 Ounces'}",B07MZT83KK
83,23501,"YERMA Makeup Face Primer with Brush - Instant Brightening and Whitening, Minimize Pores and Fine Lines, Natural Ingredients Moisturizing Primer for All Skin Types, Illuminate and smooth skin surface",,,"{'Brand': 'Yerma', 'Product Benefits': 'Whitening', 'Skin Type': 'All', 'Package Information': 'Tube', 'Unit Count': '1.00 Count', 'Package Dimensions': '6.34 x 5.08 x 1.14 inches; 2.4 Ounces', 'UPC': '728886787418'}",B0977LVHF8
84,23726,LUXEDIVA Brazilian Virgin Hair Straight 3 Bundles 10A Unprocessed Brazilian Short Straight Human Hair Weave Weft Natural Black 14 16 18,,,"{'Brand': 'LUXEDIVA', 'Material': 'Human Hair', 'Hair Type': 'Straight', 'Material Feature': 'Natural', 'Installation Type': 'Sew-In', 'Package Dimensions': '11.02 x 10.91 x 2.68 inches; 12.31 Ounces'}",B085RS26YH
85,23978,"100pcs Premium Quality Hair Clips, 20 Glossy Colors Snap Hair Clips, 2 Inch Hair Barrettes with Perfect Grip, Durable Colorful Hair Clips with Smooth Edges for Kids, Girls, Women",,,"{'Brand': 'Fagaci', 'Hair Type': 'All', 'Color': 'Assorted', 'Age Range (Description)': 'Adult', 'Material': 'Alloy Steel', 'Package Dimensions': '4.7 x 3.1 x 1 inches; 4.8 Ounces'}",B07XVNJFNF
86,24000,"Amtidy Women's Rhinestone Crown Tiara, Bridal Wedding Dance Party Birthday Party Women's Headband Tiara, Queen Tiara With Comb（Silver）",,,"{'Age Range (Description)': 'Adult', 'Material': 'Polyester, Plastic', 'Fabric Type': 'Polyester', 'Brand': 'Amtidy', 'Size': 'Queen', 'UPC': '782931993803'}",B08BYK8SKR
87,24685,"Boiess Colognes Poppy mint For Moms, Babies & Kids | Natural Eau de Cologne | Clean & Fresh Scent | Children Fragrance For Soft & Sensitive Skin | Easy Use, Gentle on Baby | Size: 8.5 FL Oz",,22.9,"{'Brand': 'Boiess', 'Item Form': 'Liquid', 'Item Volume': '8 Fluid Ounces', 'Scent': 'Poppymint', 'Special Feature': 'Dermatoligist tested, Pediatrician tested, Clean, Natural, Cruelty Free, Plant based, Hypoallegenic', 'Package Dimensions': '6.38 x 2.17 x 2.17 inches; 8.5 Ounces', 'UPC': '860007057533', 'Country of Origin': 'Spain'}",B09G3KBK7Y
88,24767,Rated Green - Hibiscus Moisturizing Scalp Pack - Tube - 6.76 fl. oz. Cold Brewed Organic Hibiscus with Natural Honey - Softening Hair Mask for Women & Men,,19.99,"{'Brand': 'RATED GREEN', 'Item Form': 'Cream', 'Material Feature': 'Organic, Natural', 'Hair Type': 'Fine', 'Product Benefits': 'Moisturizing', 'Product Dimensions': '19.69 x 19.69 x 11.02 inches; 7.8 Ounces', 'Item model number': 'RGNOP2'}",B083PXJBVY
89,24844,Makeup Blender Sponge Set - 4 Pack Latex Free Q-Soft Makeup Beauty Foundation Blending Sponge Flawless Smooth Brush for Liquid Foundation BB Creams Powders Concealer (4 Pack),,,"{'Brand': 'FRESHME', 'Color': 'Ivory', 'Material': 'Rubber', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '5.6 x 3.6 x 1.4 inches; 1.59 Ounces', 'UPC': '681413196902', 'Manufacturer': 'FRESHME'}",B07KXM94BT
90,25516,"Purple Shampoo and Conditioner Set - Sulfate Free Salon Grade (2 x 16.9 fl oz) - Hydrating Toner - Shimmer Correction for Platinum Blonde, Silver, Light, and Grey Hair - New Formula",,,"{'Product Benefits': 'Hydrating,Shine,Restoring,Nourishing', 'Brand': 'BELLISSO', 'Hair Type': 'Color', 'Scent': 'Green Tea,Natural', 'Number of Items': '2', 'Package Dimensions': '8.86 x 6.02 x 3.11 inches; 2.91 Pounds', 'UPC': '765066671129'}",B08QKXY1KN
91,25623,"EASYDEW DW-EGF Double Synergy Moist Ampoule1.01 fl oz -K Beauty Award-Winning Anti Aging Ampoule with EGF to Plump, Moisturize Skin I For Sensitive Skin, Gift for Mom, Wife, Her",,,"{'Skin Type': 'Sensitive', 'Product Benefits': 'Hydrating,Anti-aging', 'Scent': 'Aloe', 'Brand': 'EASYDEW', 'Material Feature': 'Natural', 'Package Dimensions': '4.29 x 1.54 x 1.46 inches; 3.53 Ounces'}",B08HRNPNR5
92,26390,"Tweezers for Eyebrows, MORGLES 5PCS Tweezers for Women Precision Tweezers Set with Eyebrow Brush Leather Case for Eyebrow Ingrown Hair Removal",,,"{'Package Dimensions': '6.73 x 4.06 x 0.75 inches; 7.83 Ounces', 'UPC': '616010018807', 'Manufacturer': 'MORGLES'}",B08C2T24WG
93,26680,"Queendom Unlashed Mascara | Volumizing and Lengthening | Boosts Lash Length | Vegan, Cruelty Free, Paraben Free",,,{'Package Dimensions': '5.28 x 0.94 x 0.63 inches; 0.85 Ounces'},B07RM722DH
94,27003,Taya Beauty Buriti Nut Intensive Repair Shampoo & Conditioner Duo – Organic Hydrating Shampoo and Conditioner for Dry Damaged Hair - Restorative Hair Care – Travel Size 2 fl oz,,,"{'Product Benefits': 'Hydrating', 'Item Form': 'Liquid', 'Brand': 'TAYA I AM.', 'Hair Type': 'All, Dull, Color Treated, Dry, Chemically Treated, Damaged', 'Number of Items': '2', 'Package Dimensions': '5.25 x 3.5 x 1.1 inches; 2 Ounces', 'UPC': '858308002635'}",B086XH7BWW
95,27159,"10 Pack Wide Headbands, 4 Style knot Turban Hairband Vintage Head wrap Hair Band Elastic Hair Accessories",,,"{'Age Range (Description)': 'Adult', 'Material': 'Chiffon', 'Fabric Type': 'Velvet', 'Number of Items': '10', 'Brand': 'NEWTGAN', 'Package Dimensions': '12.87 x 6.97 x 2.95 inches; 10.55 Ounces', 'UPC': '703805015872'}",B089QR2Y5B
96,27655,Tirtyl Hand Soap Sheet Variety Pack - 240 Pack with Portable Storage Tin - Camping/Outdoor/Travel/Handbag - Lavender & Aloe - Bergamot & Ylang Ylang - Jasmine & Patchouli,,,"{'Brand': 'Tirtyl', 'Scent': 'Bergamot,Lavender,Jasmine', 'Age Range (Description)': 'Adult', 'Number of Items': '1', 'Unit Count': '240.00 Count', 'Package Dimensions': '9.88 x 6.26 x 0.75 inches; 3.21 Ounces'}",B09473GGM4
97,28155,"Livordo Moroccan Argan Oil Essential Organic Cold Pressed Skin Moisturizer Rich in Vitamin E Powerful Antioxidants For Skin, Hair, Body, and Face 4 Oz",,,"{'Brand': 'Livordo', 'Item Form': 'Oil', 'Unit Count': '4.00 Fl Oz', 'Number of Items': '1', 'Skin Type': 'Acne prone,mature', 'Product Dimensions': '1.5 x 1.5 x 5 inches; 9.24 Ounces', 'Item model number': 'Argan Oil', 'UPC': '010725983878'}",B081632HX6
98,28175,"JIADEL Gel Nail Polish Colors Set,Confetti Glitter Gel Nail Polish With No Wipe Base and Top Coat,Soak Off UV LED Nail Art Salon Starter Manicure Kit",,,"{'Brand': 'JIADEL', 'Item Form': 'Gel', 'Type': 'Gel', 'Finish Type': 'Shimmery', 'Material Feature': 'Non-Toxic, Cruelty Free', 'Age Range (Description)': 'Adult', 'Unit Count': '1 Count', 'Number of Items': '16', 'Liquid Volume': '0.17 Fluid Ounces', 'Item Dimensions LxWxH': '11 x 9 x 1 inches', 'Product Dimensions': '11 x 9 x 1 inches; 1.34 Pounds', 'UPC': '642940399488'}",B08GKVYS1Y
99,28538,"invisibobble Sprunchie Spiral Hair Ring - True Black - Scrunchie Stylish Bracelet, Strong Elastic Grip Coil Accessories for Women - Gentle for Girls Teens and Thick Hair",,11.49,"{'Item Form': 'Scrunchie', 'Brand': 'invisibobble', 'Hair Type': 'Straight', 'Item Weight': '2 Grams', 'Number of Pieces': '1', 'Package Dimensions': '2.83 x 2.8 x 0.87 inches; 0.07 Ounces', 'Item model number': 'IB-SP-HP10001'}",B08HXQ3T9K
100,29431,"TOUCH IN SOL Best of No Pore Blem Travel Kit - Face Makeup Primer, Big Pores Perfect Cover, Inner-Glowing Skin with Moisture, Long Lasting Makeup's Staying Kit",,,"{'Brand': 'Touch in Sol', 'Product Benefits': 'Hydrating', 'Skin Type': 'Dry', 'Package Information': 'Tube', 'Item Volume': '0.5 Fluid Ounces', 'Package Dimensions': '6.46 x 5.39 x 1.14 inches; 5.12 Ounces', 'Item model number': 'no pore blem kit'}",B08F4ZDVZQ
101,29450,Gel Nail Polish Set - TOEDO Fall Winter Nail Gel 6 Colors Tan Brown Colors Soak Off LED Nail Lamp Gel Polish Kit for Home DIY Manicure Nail Designs,,,"{'Brand': 'TOEDO', 'Item Form': 'Gel', 'Type': 'gel', 'Finish Type': 'Matte,Glossy', 'Age Range (Description)': 'Adult', 'Unit Count': '1.56 FL Oz', 'Liquid Volume': '0.27 Fluid Ounces', 'Package Dimensions': '11.1 x 3.31 x 3.23 inches; 9.14 Ounces'}",B08P15TB2V
102,29926,"Grinding Away Skin Polishing Scrub, 3 fl. oz., Polishing Scrub Works to Improve Skin's Texture and Tone by Buffing Away Dead Skin Cells by Higher Education Skincare",,,"{'Brand': 'Higher Education', 'Skin Type': 'All', 'Product Benefits': 'Smoother', 'Material Feature': 'Gluten Free, Cruelty Free', 'Number of Items': '1', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '5.59 x 3.58 x 1.61 inches; 3 Ounces', 'UPC': '811381031008'}",B07MMW5654
103,30217,Keratin Secrets Do It Yourself Home Keratin System,,49.95,{'Package Dimensions': '8.27 x 4.21 x 3.9 inches; 2.87 Pounds'},B07SLFWZKN
104,30281,"Beautiful Girl You Can Do Amazing Things, Inspirational Gifts for Women, Christmas Gifts, Amazing Gifts for Teen Girls, Beautiful Gift Makeup Bag, Inspirational Jewelry Dish, Amazing Mirror",,,"{'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '6.1 x 5.31 x 2.52 inches; 11.68 Ounces', 'Item model number': '8R-EFX1-UF4C', 'Department': 'girls', 'UPC': '733420649831', 'Manufacturer': 'VeryMerryMakering'}",B092M5K59T
